experiment,participant_id,age,trial_order,stimulus,response
1word,218355,24.0,53,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
1word,218355,24.0,54,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone? (Answer using just one word)",yes
1word,218355,24.0,55,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",no
1word,218355,24.0,56,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone? (Answer using just one word)",yes
1word,218355,24.0,57,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone? (Answer using just one word)",yes
1word,218355,24.0,58,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen? (Answer using just one word)",yes
1word,218355,24.0,59,"Mary was kissed by Molly and Franck. In this context, was Molly kissed? (Answer using just one word)",no
1word,218355,24.0,60,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed? (Answer using just one word)",no
1word,218355,24.0,61,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at? (Answer using just one word)",yes
1word,218355,24.0,62,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky? (Answer using just one word)",no
1word,218355,24.0,63,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",no
1word,218355,24.0,64,"Mary was kissed by Molly and Franck. In this context, was Molly kissed? (Answer using just one word)",no
1word,218355,24.0,65,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",no
1word,218355,24.0,66,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
1word,229095,24.0,1,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,229095,24.0,2,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",no
1word,229095,24.0,3,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,229095,24.0,4,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,229095,24.0,5,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,229095,24.0,6,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,229095,24.0,7,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",no
1word,229095,24.0,8,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,229095,24.0,9,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",yes
1word,229095,24.0,10,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,229095,24.0,11,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,229095,24.0,12,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,229095,24.0,13,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",yes
1word,229095,24.0,14,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",no
1word,229095,24.0,15,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,229095,24.0,16,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,229095,24.0,17,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,229095,24.0,18,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,229095,24.0,19,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",no
1word,229095,24.0,20,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,229095,24.0,21,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,229095,24.0,22,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,229095,24.0,23,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,229095,24.0,24,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",no
1word,229095,24.0,25,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,229095,24.0,26,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",yes
1word,229095,24.0,27,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,229095,24.0,28,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,229095,24.0,29,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,229095,24.0,30,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,229095,24.0,31,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",no
1word,229095,24.0,32,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",yes
1word,229095,24.0,33,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,229095,24.0,34,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",no
1word,229095,24.0,35,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,229095,24.0,36,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,229095,24.0,37,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",no
1word,229095,24.0,38,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,229095,24.0,39,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,229095,24.0,40,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,229095,24.0,41,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,229095,24.0,42,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,229095,24.0,43,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,229095,24.0,44,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,229095,24.0,45,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,229095,24.0,46,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,229095,24.0,47,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",no
1word,229095,24.0,48,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,229095,24.0,49,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,229095,24.0,50,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",no
1word,229095,24.0,51,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",no
1word,229095,24.0,52,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,229095,24.0,53,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,229095,24.0,54,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,229095,24.0,55,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,229095,24.0,56,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,229095,24.0,57,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,229095,24.0,58,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,229095,24.0,59,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,229095,24.0,60,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,229095,24.0,61,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",no
1word,229095,24.0,62,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",yes
1word,229095,24.0,63,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",no
1word,229095,24.0,64,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,229095,24.0,65,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,229095,24.0,66,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,236856,39.0,1,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",yes
1word,236856,39.0,2,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,236856,39.0,3,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",no
1word,236856,39.0,4,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,236856,39.0,5,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,236856,39.0,6,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,236856,39.0,7,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,236856,39.0,8,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",yes
1word,236856,39.0,9,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,236856,39.0,10,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,236856,39.0,11,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,236856,39.0,12,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,236856,39.0,13,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,236856,39.0,14,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,236856,39.0,15,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,236856,39.0,16,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,236856,39.0,17,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,236856,39.0,18,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,236856,39.0,19,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,236856,39.0,20,"Mary complimented John and Bill was complimented by John. In this context, did John compliment anyone? (Answer using just one word)",yes
1word,236856,39.0,21,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",yes
1word,236856,39.0,22,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,236856,39.0,23,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",yes
1word,236856,39.0,24,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",no
1word,236856,39.0,25,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,236856,39.0,26,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,236856,39.0,27,"Jessica and Giovanna deceived Pascual and Barbara was deceived by Pascual and Laura. In this context, did Laura deceive anyone? (Answer using just one word)",yes
1word,236856,39.0,28,"Paul was called by Lucy and Steve and Anthony was called by Franck. In this context, did Steve call anyone? (Answer using just one word)",yes
1word,236856,39.0,29,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,236856,39.0,30,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",yes
1word,236856,39.0,31,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",yes
1word,236856,39.0,32,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",yes
1word,236856,39.0,33,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",no
1word,236856,39.0,34,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,236856,39.0,35,"John kissed Mary and Lucy was kissed by Mary. In this context, was John kissed by Mary? (Answer using just one word)",no
1word,236856,39.0,36,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,236856,39.0,37,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,236856,39.0,38,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,236856,39.0,39,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,236856,39.0,40,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",no
1word,236856,39.0,41,"Matt punched John and John punched himself too. Molly was kissed by John. In this context, was John kissed? (Answer using just one word)",no
1word,236856,39.0,42,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, did Jack train anyone? (Answer using just one word)",yes
1word,236856,39.0,43,"John deceived Mary and Lucy was deceived by Mary. In this context, did Mary deceive Lucy? (Answer using just one word)",yes
1word,236856,39.0,44,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,236856,39.0,45,"John laughed at Matt and then laughed at Alice too. Mary was kissed by Nuria. In this context, was Nuria kissed? (Answer using just one word)",no
1word,236856,39.0,46,"Sarah was seen by Molly and Jack and Judith was seen by Sarah. In this context, did Jack see anyone? (Answer using just one word)",yes
1word,236856,39.0,47,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",no
1word,236856,39.0,48,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,236856,39.0,49,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,236856,39.0,50,"John and Manuel were kissed by Franck. Alice was kissed by Franck and Peter. In this context, was Franck kissed? (Answer using just one word)",no
1word,236856,39.0,51,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,236856,39.0,52,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,236856,39.0,53,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",yes
1word,236856,39.0,54,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,236856,39.0,55,"Jessica and Mary were kissed by Alice. Jessica was kissed by Samuel and Andrew was kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",yes
1word,236856,39.0,56,"Alice yelled at Flavia and Flavia yelled at Alice's sister. Alice's sister was greeted by Alice. In this context, was Alice greeted? (Answer using just one word)",no
1word,236856,39.0,57,"Lucy chased Molly and Alice was kissed by Mary. Mary kissed Sarah. In this context, was Mary kissed? (Answer using just one word)",no
1word,236856,39.0,58,"Franck read to himself and John read to himself, Anthony and Franck. In this context, was Franck read to? (Answer using just one word)",yes
1word,236856,39.0,59,"Bob kissed Donna and Barbara kissed Peter. Donna was hugged by Alice. In this context, was Alice hugged? (Answer using just one word)",no
1word,236856,39.0,60,"Steve hugged Molly and Donna was kissed by Molly. In this context, was Molly kissed? (Answer using just one word)",no
1word,236856,39.0,61,"Alice calls Flavia and Flavia is called by Molly. Molly is kissed by Alice. In this context, was Molly kissed? (Answer using just one word)",yes
1word,236856,39.0,62,"Franck chased Paul and Paul chased Bill. Bill was called by Paul. In this context, was Paul chased? (Answer using just one word)",yes
1word,236856,39.0,63,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,236856,39.0,64,"Francesco wrote to Nuria and John wrote to Irene. Mary was paid by Francesco. In this context, was Francesco paid? (Answer using just one word)",no
1word,236856,39.0,65,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,236856,39.0,66,"John loved Mary and Lucy was hugged by Mary. Mary was kissed by Lucy. In this context, was Lucy kissed? (Answer using just one word)",no
1word,23762,48.0,1,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",no
1word,23762,48.0,2,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for? (Answer using just one word)",yes
1word,23762,48.0,3,"Mary was kissed by Molly and Franck. In this context, was Molly kissed? (Answer using just one word)",no
1word,23762,48.0,4,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen? (Answer using just one word)",yes
1word,23762,48.0,5,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased? (Answer using just one word)",no
1word,23762,48.0,6,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped? (Answer using just one word)",no
1word,23762,48.0,7,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed? (Answer using just one word)",no
1word,23762,48.0,8,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone? (Answer using just one word)",yes
1word,23762,48.0,9,"Mary was kissed by Molly and Franck. In this context, was Molly kissed? (Answer using just one word)",no
1word,23762,48.0,10,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for? (Answer using just one word)",yes
1word,23762,48.0,11,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen? (Answer using just one word)",yes
1word,23762,48.0,12,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",no
1word,23762,48.0,13,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped? (Answer using just one word)",no
1word,23762,48.0,14,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,23762,48.0,15,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained? (Answer using just one word)",no
1word,23762,48.0,16,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",no
1word,23762,48.0,17,"Mary was kissed by Molly and Franck. In this context, was Molly kissed? (Answer using just one word)",no
1word,23762,48.0,18,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,23762,48.0,19,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone? (Answer using just one word)",yes
1word,23762,48.0,20,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for? (Answer using just one word)",yes
1word,23762,48.0,21,"John saw Lucy and Alice was seen by Lucy. Lucy saw John. In this context, was Lucy seen? (Answer using just one word)",yes
1word,23762,48.0,22,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone? (Answer using just one word)",yes
1word,23762,48.0,23,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone? (Answer using just one word)",yes
1word,23762,48.0,24,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone? (Answer using just one word)",yes
1word,23762,48.0,25,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",no
1word,23762,48.0,26,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone? (Answer using just one word)",yes
1word,23762,48.0,27,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed? (Answer using just one word)",no
1word,23762,48.0,28,"Jessica and Mary were cared for by Alice. Jessica was cared for by Samuel and Andrew was cared for by Mary. In this context, was Mary cared for? (Answer using just one word)",yes
1word,23762,48.0,29,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky? (Answer using just one word)",no
1word,23762,48.0,30,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained? (Answer using just one word)",no
1word,23762,48.0,31,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone? (Answer using just one word)",yes
1word,23762,48.0,32,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,23762,48.0,33,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone? (Answer using just one word)",yes
1word,23762,48.0,34,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone? (Answer using just one word)",yes
1word,23762,48.0,35,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",no
1word,23762,48.0,36,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",no
1word,23762,48.0,37,"John saw Lucy and Alice was seen by Lucy. Alice saw John. In this context, did Lucy see anyone? (Answer using just one word)",yes
1word,23762,48.0,38,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for? (Answer using just one word)",yes
1word,23762,48.0,39,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
1word,23762,48.0,40,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at? (Answer using just one word)",yes
1word,23762,48.0,41,"The door is red. In this context, is the door red? (Answer using just one word)",yes
1word,23762,48.0,42,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone? (Answer using just one word)",yes
1word,23762,48.0,43,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone? (Answer using just one word)",yes
1word,23762,48.0,44,"Bill and Alice helped Mary and Mary was helped by Luis and Samuel. In this context, was Samuel helped? (Answer using just one word)",no
1word,23762,48.0,45,"Jessica and Mary were cooked for by Alice. Jessica was cooked for by Samuel and Andrew was cooked for by Mary. In this context, was Mary cooked for? (Answer using just one word)",yes
1word,23762,48.0,46,"Flavia and Jack avoided Mary and Franck was avoided by Lucy and Flavia. In this context, did Franck avoid anyone? (Answer using just one word)",no
1word,23762,48.0,47,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky? (Answer using just one word)",no
1word,23762,48.0,48,"Max trained Molly and Bob and Alice was trained by Jack and Max. In this context, was Jack trained? (Answer using just one word)",no
1word,23762,48.0,49,"Anne was hugged by Emilio and Jack and Walter was hugged by Franck. In this context, did Emilio hug anyone? (Answer using just one word)",yes
1word,23762,48.0,50,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased? (Answer using just one word)",no
1word,23762,48.0,51,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at? (Answer using just one word)",yes
1word,23762,48.0,52,"Walter emailed Kora and Lucy was emailed by Kora. Kora was emailed by Lucy. In this context, did Kora email anyone? (Answer using just one word)",yes
1word,23762,48.0,53,"Pascual and John chased Luis and Luis was chased by Francesco and Bill. In this context, was Pascual chased? (Answer using just one word)",no
1word,23762,48.0,54,"Cleo kissed Alice and Alice was kissed by Mary. Cleo and Alice were kissed by Mary. In this context, was Mary kissed? (Answer using just one word)",no
1word,23762,48.0,55,"Luis leaves Roy and Laura is left by Roy. Roy is kissed by Laura. In this context, was Laura kissed? (Answer using just one word)",no
1word,23762,48.0,56,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
1word,23762,48.0,57,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
1word,23762,48.0,58,"Molly saw Mary hugging John and Molly was hugged by Mary. In this context, did Molly hug John? (Answer using just one word)",no
1word,23762,48.0,59,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone? (Answer using just one word)",yes
1word,23762,48.0,60,"Paul was helped by Mary and Steve and Anthony was helped by Franck. In this context, did Steve help anyone? (Answer using just one word)",yes
1word,23762,48.0,61,"Andrew and Molly were laughed at by Lucy. Smith was laughed at by Samuel and Andrew was laughed at by Molly. In this context, was Andrew laughed at? (Answer using just one word)",yes
1word,23762,48.0,62,"Bill directed John and Bob was directed by John. John was directed by Bill. In this context, did John direct anyone? (Answer using just one word)",yes
1word,23762,48.0,63,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,23762,48.0,64,"Elena scolded Molly and Sarah was scolded by Molly. In this context, did Molly scold anyone? (Answer using just one word)",yes
1word,23762,48.0,65,"The door is green. In this context, is the door blue? (Answer using just one word)",no
1word,23762,48.0,66,"John discussed with Ricky and Ricky called Bill. Bill was called by John. In this context, did Bill call Ricky? (Answer using just one word)",no
1word,247861,47.0,1,"John and Samantha called Mary and Luis was called by Lucy and Mary. In this context, was Lucy called by anyone? (Answer using just one word)",no
